Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
TOPUP,Current,2024-03-19 19:31:36,2024-03-19 19:31:39,Apple Pay Top-Up by *7676,15.00,0.00,CHF,COMPLETED,15.00
TOPUP,Current,2024-07-12 19:53:10,2024-07-12 19:53:12,Apple Pay Top-Up by *7676,14.83,0.00,CHF,COMPLETED,29.83
CARD_PAYMENT,Current,2024-07-12 19:57:58,2024-07-13 13:33:39,RealDebrid,-15.65,0.00,CHF,COMPLETED,14.18
CARD_PAYMENT,Current,2024-10-02 11:13:10,,Too Good To Go,-4.90,0.00,CHF,REVERTED,
CARD_PAYMENT,Current,2024-10-02 14:39:50,2024-10-03 15:29:12,Too Good To Go,-2.90,0.00,CHF,COMPLETED,11.28
EXCHANGE,Current,2024-12-27 23:14:36,2024-12-27 23:14:36,Exchange to CHF,0.17,0.00,CHF,COMPLETED,11.45
